product_id,mpn,brand,manufacturer,product_type,size,quantity,material
PROD-0391,84322WH,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0392,52404BK,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0393,34686A,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0394,34687A,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0395,34688A,nan,nan,Chandeliers & Pendant Lights,nan,nan,
PROD-0396,43671BKCLR,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0397,52616BK,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0398,52616NI,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0399,52678BK,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0400,52680CPZ,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0401,52772BK,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0402,82399,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0403,65-771R3,Satco,Satco Prod Inc,Light Bulbs,nan,nan,
PROD-0404,42955BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0405,42275BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0406,62-1850,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,11 in,nan,Zirconia
PROD-0407,62-1852,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,14 in,nan,
PROD-0408,62-1875,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,10 in,nan,
PROD-0409,62-1876,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,13 in,nan,
PROD-0410,42296BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0411,43913BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0412,HLSMS9129FS1E,nan,Cooper Lighting,Lighting & Electrical Supplies,9 in,nan,
PROD-0413,64-110,Satco,Satco Prod Inc,Electrical Wire & Cable,nan,nan,
PROD-0414,603571,nan,Phillips Lighting,Lighting & Electrical Supplies,3/4 in x 18 in,nan,
PROD-0415,65-572R1,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0416,52476AVI,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0417,42199BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0418,42199BKCS,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0419,42200BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0420,42200BKCS,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0421,43851BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0422,43852BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0423,43853BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0424,43905BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0425,43911BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0426,52529BK,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0427,52662BKCLR,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0428,52734CPZ,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0429,82400,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0430,S11606,Satco,Satco Prod Inc,nan,8 in,nan,
PROD-0431,S11828,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,8 in,nan,
PROD-0432,801274,nan,Phillips Lighting,Lighting & Electrical Supplies,6 in,nan,
PROD-0433,S11860,Satco,Satco Prod Inc,Lighting & Electrical Supplies,6 in,nan,
PROD-0434,S11562,Satco,Satco Prod Inc,Lighting & Electrical Supplies,6 in,nan,
PROD-0435,S11646,Satco,Satco Prod Inc,Lighting & Electrical Supplies,6 in,nan,
PROD-0436,S11801R1,Satco,Satco Prod Inc,Lighting & Electrical Supplies,6 in,nan,
